path,split,index
/content/mushroom_dataset/poisonous/Lepiota_brunneoincarnata/Lepiota_brunneoincarnata23.png,train,7082
/content/mushroom_dataset/poisonous/Paralepistopsis_amoenolens/Paralepistopsis_amoenolens28.png,train,7610
/content/mushroom_dataset/poisonous/Amanita_viscidolutea/Amanita_viscidolutea6.png,train,4604
/content/mushroom_dataset/edible/Calvatia_gigantea/Calvatia_gigantea52.png,train,647
/content/mushroom_dataset/edible/Tuber_brumale/Tuber_brumale2.png,train,2717
/content/mushroom_dataset/poisonous/Turbinellus_kauffmanii/Turbinellus_kauffmanii9.png,train,8467
/content/mushroom_dataset/edible/Amanita_rubescens/Amanita_rubescens25.png,train,313
/content/mushroom_dataset/poisonous/Amanita_albocreata/Amanita_albocreata10.png,train,3264
/content/mushroom_dataset/poisonous/Entoloma_rhodopolium/Entoloma_rhodopolium5.png,train,6111
/content/mushroom_dataset/edible/Coprinopsis_atramentaria/Coprinopsis_atramentaria20.png,train,892
/content/mushroom_dataset/poisonous/Cortinarius_limonius/Cortinarius_limonius24.png,train,5514
/content/mushroom_dataset/edible/Calbovista_subsculpta/Calbovista_subsculpta51.png,train,573
/content/mushroom_dataset/poisonous/Cudonia_circinans/Cudonia_circinans15.png,train,5935
/content/mushroom_dataset/poisonous/Omphalotus_illudens/Omphalotus_illudens13.png,train,7398
/content/mushroom_dataset/poisonous/Lactarius_chrysorrheus/Lactarius_chrysorrheus31.png,train,6994
/content/mushroom_dataset/poisonous/Amanita_pseudorubescens/Amanita_pseudorubescens24.png,train,4292
/content/mushroom_dataset/poisonous/Paxillus_involutus/Paxillus_involutus18.png,train,7634
/content/mushroom_dataset/poisonous/Inocybe_lilacina/Inocybe_lilacina3.png,train,6850
/content/mushroom_dataset/edible/Tuber_brumale/Tuber_brumale20.png,train,2718
/content/mushroom_dataset/poisonous/Ampulloclitocybe_clavipes/Ampulloclitocybe_clavipes1.png,train,4658
/content/mushroom_dataset/poisonous/Entoloma_sinuatum/Entoloma_sinuatum15.png,train,6123
