epoch,train_loss,train_acc,val_loss,val_acc
1,0.4269426745526931,0.6549178815279572,0.37774523279883643,0.7335793357933579
2,0.3697715980165145,0.7313157409116073,0.35118233344771643,0.7527675276752768
3,0.3424967716721927,0.7595497324229563,0.3363413160497492,0.7653136531365313
4,0.32260071407346164,0.7813249677062188,0.32437687570398505,0.7845018450184502
5,0.3023169096778421,0.7975641262225502,0.3179343803362413,0.7771217712177122
6,0.281391382392715,0.8132496770621886,0.3097403706474738,0.7911439114391144
7,0.26267849873093996,0.8317032662852925,0.30642713470892474,0.8014760147601476
8,0.24878672063350676,0.8365011994832995,0.3028136911717328,0.8073800738007381
9,0.24086666019523845,0.8470197453404688,0.2998629442670129,0.8007380073800738
10,0.2234447857912849,0.8617826167189518,0.29416863281618466,0.8
11,0.20537130867733674,0.8745155932828935,0.3040249069983309,0.7992619926199263
12,0.19309338681838092,0.8870640339546042,0.2984109040011059,0.7918819188191882
13,0.1800028639681199,0.8973980439195424,0.3047108148986643,0.8066420664206642
14,0.16666523963212967,0.9020114412253183,0.30425716868855734,0.7970479704797048
15,0.16110411286354065,0.9097619486990219,0.30738111585378647,0.8095940959409594
16,0.14912441241390564,0.9169588484960325,0.30414521152322943,0.8125461254612546
17,0.13566038775093414,0.924340284185274,0.31154740330847824,0.811070110701107
18,0.13192754361559364,0.9291382173832811,0.30783678658983926,0.7992619926199263
19,0.12967088003368937,0.9295072891677432,0.30863477899269626,0.8014760147601476
20,0.11859148837187711,0.9387340837792951,0.3220231235027313,0.8059040590405904
21,0.11673835498445174,0.9396567632404502,0.32517208700830286,0.8169741697416975
22,0.1127089484649546,0.942793873408378,0.32667942345142365,0.8095940959409594
23,0.10919550346101031,0.9407639785938365,0.33047773282636295,0.8162361623616237
24,0.10839568188085276,0.9422402657316848,0.3286858356811784,0.8132841328413284
25,0.10693800164496198,0.942793873408378,0.33361128040335397,0.8169741697416975
