epoch,train_loss,train_acc,val_loss,val_acc
1,0.42039959956617917,0.6571323122347297,0.38421769304709,0.7343173431734318
2,0.36820187533602994,0.7340837792950728,0.36390354010191833,0.7571955719557195
3,0.3407940917155322,0.7623177708064218,0.3489962491122159,0.7608856088560886
4,0.31971845872261945,0.7844620778741466,0.3386903242631392,0.7822878228782287
5,0.297323236395331,0.8019929876360952,0.3307913568886844,0.7800738007380074
6,0.27881721135448007,0.8176785384757336,0.3284114883704619,0.792619926199262
7,0.26438556120676154,0.8274589407639786,0.33084494552829047,0.7837638376383764
8,0.2458364090498756,0.8442517069570031,0.3170733892104842,0.7948339483394834
9,0.22936843949205735,0.8566156117364827,0.32505681027065625,0.8044280442804428
10,0.2110225614379434,0.872301162576121,0.32609986107457767,0.7992619926199263
11,0.20147438452524297,0.881343421295442,0.3218899728222327,0.8066420664206642
12,0.1893838083042818,0.8883557852002214,0.327848765660416,0.8022140221402214
13,0.17343696881743037,0.8999815464107769,0.32723655890334735,0.8073800738007381
14,0.16355419290416381,0.9060712308544012,0.33036805282939563,0.8177121771217712
15,0.1579766497015953,0.9084701974534047,0.3255741691047495,0.8088560885608856
16,0.15045132803566316,0.9180660638494187,0.33910943093624984,0.8125461254612546
17,0.14639703692758785,0.9182505997416498,0.3339935222809965,0.8088560885608856
18,0.14242447193931132,0.919542350987267,0.33878551017154346,0.8154981549815498
19,0.134681737510597,0.9248938918619671,0.3358199054544622,0.8095940959409594
20,0.13160911894896452,0.9284000738143569,0.33498146588152106,0.814760147601476
21,0.11944443145219018,0.933751614689057,0.34640195152976294,0.8103321033210332
22,0.11356854096931569,0.9398412991326813,0.3428726832975041,0.8095940959409594
23,0.11716372958000969,0.9378114043181399,0.3463043143803423,0.8095940959409594
24,0.1109979552381179,0.9405794427016054,0.3542574298652736,0.8169741697416975
25,0.11038939729332924,0.9439010887617642,0.3552674664692445,0.8103321033210332
